"Id";"ExpertGroup";"EvaluatedScientificNameId";"EvaluatedScientificName";"EvaluatedScientificNameAuthor";"reproductionGenerationTime"
2762;"Karplanter";99970;"Ceratochloa cathartica";"(Vahl) Herter";1
1896;"Karplanter";146017;"Ceratochloa sitchensis";"(Trin.) Cope & Ryves";5
5463;"Karplanter";145521;"Ceratophyllum submersum";"L.";3
2760;"Karplanter";103570;"Cercidiphyllum japonicum";"Siebold & Zucc.";30
2757;"Karplanter";103265;"Chaenomeles japonica";"(Thunb.) Spach";15
1576;"Karplanter";128841;"Chaenomeles speciosa";"(Sweet) Nakai";15
2756;"Karplanter";102495;"Chaenorhinum minus";"(L.) Lange";1
2780;"Karplanter";100291;"Chaerophyllum aromaticum";"L.";10
2792;"Karplanter";100292;"Chaerophyllum aureum";"L.";10
2781;"Karplanter";100293;"Chaerophyllum bulbosum";"L.";2
2421;"Karplanter";162901;"Chaerophyllum hirsutum";"L.";10
2800;"Karplanter";100295;"Chaerophyllum temulum";"L.";2
2820;"Karplanter";103781;"Chamaecyparis lawsoniana";"(A.Murray bis) Parl.";50
1895;"Karplanter";145522;"Chamaecyparis pisifera";"(Siebold & Zucc.) Endl.";50
1319;"Karplanter";128713;"Chamaecytisus ×versicolor";"(Dippel) Karlsson";15
2816;"Karplanter";101912;"Chamaecytisus glaber";"(L. f.) Rothm.";15
2815;"Karplanter";101913;"Chamaecytisus hirsutus";"(L.) Link";15
2829;"Karplanter";101917;"Chamaespartium sagittale";"(L.) Gibbs";15
2241;"Karplanter";157457;"Chamerion latifolium";NA;20
2818;"Karplanter";102498;"Chelone glabra";"L.";15
1575;"Karplanter";128842;"Chelone obliqua";"L.";15
2810;"Karplanter";145678;"Chenopodiastrum hybridum";"(L.) S.Fuentes, Uotila & Borsch";1
297;"Karplanter";145679;"Chenopodiastrum murale";"(L.) S.Fuentes, Uotila & Borsch";1
100;"Karplanter";101397;"Chenopodium ficifolium";NA;1
281;"Karplanter";101398;"Chenopodium foliosum";NA;1
109;"Karplanter";101404;"Chenopodium missouriense";"Aellen";1
2844;"Karplanter";100505;"Cicerbita macrophylla";"(Willd.) Wallr.";20
