ScientificNameId	ScientificName	ScientificNameAuthor
216382	Trochulus striolatus	(Pfeiffer, 1828)
216644	Limacus flavus	(Linnaeus, 1758)
216330	Tandonia budapestensis	(Hazay, 1880)
216238	Neohelix albolabris	(Say, 1817)
216251	Paralaoma servilis	(Shuttleworth, 1852)
216136	Euglandina rosea	(Ferrusac, 1821)
216413	Zonites algirus	(Linnaeus, 1758)
216187	Laevicaulis alte	(Férussac, 1822)
216407	Veronicella sloanii	(Cuvier, 1817)
216784	Krynickillus melanocephalus	Kaleniczenko, 1851
